index|station_id|station_name|date|average_wind_speed|precipitation|snowfall|snow_depth|temperature_avg|temperature_max|temperature_min
124|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-04|9.62|0.01|0.0|0.0|52|58|49
125|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-05|12.97|0.0|0.0|0.0|51|59|46
126|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-06|10.51|0.62|0.0|0.0|52|54|49
127|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-07|5.14|0.1|0.0|0.0|52|59|48
128|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-08|10.29|0.11|0.0|0.0|56|68|47
129|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-09|12.75|0.0|0.0|0.0|61|75|45
130|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-10|8.72|0.0|0.0|0.0|57|62|46
131|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-11|6.04|0.0|0.0|0.0|61|74|49
132|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-12|5.37|0.0|0.0|0.0|67|77|54
133|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-13|4.25|0.29|0.0|0.0|62|66|58
134|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-14|9.62|0.0|0.0|0.0|66|76|56
135|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-15|16.11|0.0|0.0|0.0|54|59|44
136|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-16|15.43|0.0|0.0|0.0|52|69|40
137|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-17|9.4|0.0|0.0|0.0|59|66|52
138|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-18|7.16|0.0|0.0|0.0|57|67|50
139|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-19|3.8|0.0|0.0|0.0|61|72|54
140|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-20|5.59|0.0|0.0|0.0|64|76|52
141|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-21|4.7|0.08|0.0|0.0|62|64|54
142|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-22|6.49|0.04|0.0|0.0|60|70|52
143|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-23|5.82|0.01|0.0|0.0|65|76|53
